,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
795,Rostem Akman,Sergey Khandozhko,Blue,U-DEC,,Welterweight
796,Tonya Evinger,Lina Lansberg,Blue,U-DEC,,Women's Bantamweight
797,Stevie Ray,Leonardo Santos,Blue,KO/TKO,Punch,Lightweight
798,Nick Hein,Frank Camacho,Blue,KO/TKO,Punches,Lightweight
799,Bea Malecki,Duda Santana,Red,SUB,Rear Naked Choke,Women's Bantamweight
800,Darko Stosic,Devin Clark,Blue,U-DEC,,Light Heavyweight
801,Joel Alvarez,Danilo Belluardo,Red,KO/TKO,Punches,Lightweight
802,Rafael Dos Anjos,Kevin Lee,Red,SUB,Arm Triangle,Welterweight
803,Antonio Carlos Junior,Ian Heinisch,Blue,U-DEC,,Middleweight
804,Megan Anderson,Felicia Spencer,Blue,SUB,Rear Naked Choke,Women's Featherweight
805,Vicente Luque,Derrick Krantz,Red,KO/TKO,Punch,Welterweight
806,Charles Oliveira,Nik Lentz,Red,KO/TKO,Punch,Lightweight
807,Davi Ramos,Austin Hubbard,Red,U-DEC,,Lightweight
808,Aspen Ladd,Sijara Eubanks,Red,U-DEC,,Women's Bantamweight
809,Desmond Green,Charles Jourdain,Red,U-DEC,,Lightweight
810,Danny Roberts,Michel Pereira,Blue,KO/TKO,Flying Knee,Welterweight
811,Michael Trizano,Grant Dawson,Blue,SUB,Rear Naked Choke,Featherweight
812,Patrick Cummins,Ed Herman,Blue,KO/TKO,Knee,Light Heavyweight
813,Zak Cummings,Trevin Giles,Red,SUB,Guillotine Choke,Middleweight
814,Julio Arce,Julian Erosa,Red,KO/TKO,Kick,Featherweight
815,Rose Namajunas,Jessica Andrade,Blue,KO/TKO,Slam,Women's Strawweight
816,Jared Cannonier,Anderson Silva,Red,KO/TKO,Kick,Middleweight
817,Jose Aldo,Alexander Volkanovski,Blue,U-DEC,,Featherweight
818,Thiago Alves,Laureano Staropoli,Blue,U-DEC,,Welterweight
819,Irene Aldana,Bethe Correia,Red,SUB,Armbar,Women's Bantamweight
820,Rogerio Nogueira,Ryan Spann,Blue,KO/TKO,Punch,Light Heavyweight
821,Thiago Moises,Kurt Holobaugh,Red,U-DEC,,Lightweight
822,Warlley Alves,Sergio Moraes,Red,KO/TKO,Punch,Welterweight
823,BJ Penn,Clay Guida,Blue,U-DEC,,Lightweight
824,Luana Carolina,Priscila Cachoeira,Red,U-DEC,,Women's Flyweight
825,Raoni Barcelos,Carlos Huachin,Red,KO/TKO,Elbows,Bantamweight
826,Talita Bernardo,Viviane Araujo,Blue,KO/TKO,Punch,Women's Bantamweight
827,Al Iaquinta,Donald Cerrone,Blue,U-DEC,,Lightweight
828,Derek Brunson,Elias Theodorou,Red,U-DEC,,Middleweight
829,Cub Swanson,Shane Burgos,Blue,S-DEC,,Featherweight
830,Brad Katona,Merab Dvalishvili,Blue,U-DEC,,Bantamweight
831,Walt Harris,Serghei Spivac,Red,KO/TKO,Knees,Heavyweight
832,Marc-Andre Barriault,Andrew Sanchez,Blue,U-DEC,,Middleweight
833,Macy Chiasson,Sarah Moras,Red,KO/TKO,Punches,Women's Bantamweight
834,Aiemann Zahabi,Vince Morales,Blue,U-DEC,,Bantamweight
835,Nordine Taleb,Kyle Prepolec,Red,U-DEC,,Welterweight
836,Kyle Nelson,Matt Sayles,Blue,SUB,Arm Triangle,Featherweight
837,Arjan Bhullar,Juan Adams,Red,U-DEC,,Heavyweight
838,Mitch Gagnon,Cole Smith,Blue,U-DEC,,Bantamweight
839,Jacare Souza,Jack Hermansson,Blue,U-DEC,,Middleweight
840,Greg Hardy,Dmitrii Smoliakov,Red,KO/TKO,Punches,Heavyweight
841,Alex Oliveira,Mike Perry,Blue,U-DEC,,Welterweight
842,Glover Teixeira,Ion Cutelaba,Red,SUB,Rear Naked Choke,Light Heavyweight
843,John Lineker,Cory Sandhagen,Blue,S-DEC,,Bantamweight
844,Roosevelt Roberts,Thomas Gifford,Red,U-DEC,,Lightweight
845,Ben Saunders,Takashi Sato,Blue,KO/TKO,Elbows,Welterweight
846,Andrei Arlovski,Augusto Sakai,Blue,S-DEC,,Heavyweight
847,Carla Esparza,Virna Jandiroba,Red,U-DEC,,Women's Strawweight
848,Gilbert Burns,Mike Davis,Red,SUB,Rear Naked Choke,Lightweight
849,Jim Miller,Jason Gonzalez,Red,SUB,Rear Naked Choke,Lightweight
850,Angela Hill,Jodie Esquibel,Red,U-DEC,,Women's Strawweight
851,Court McGee,Dhiego Lima,Blue,S-DEC,,Welterweight
852,Alistair Overeem,Aleksei Oleinik,Red,KO/TKO,Knee,Heavyweight
853,Islam Makhachev,Arman Tsarukyan,Red,U-DEC,,Lightweight
854,Sergei Pavlovich,Marcelo Golm,Red,KO/TKO,Punches,Heavyweight
855,Roxanne Modafferi,Antonina Shevchenko,Red,S-DEC,,Women's Flyweight
856,Krzysztof Jotko,Alen Amedovski,Red,U-DEC,,Middleweight
857,Movsar Evloev,Seungwoo Choi,Red,,,Featherweight
858,Sultan Aliev,Keita Nakamura,Red,U-DEC,,Welterweight
859,Alexander Yakovlev,Alex Da Silva,Red,SUB,Other - Choke,Lightweight
860,Marcin Tybura,Shamil Abdurakhimov,Blue,KO/TKO,Punches,Heavyweight
861,Gadzhimurad Antigulov,Michal Oleksiejczuk,Blue,KO/TKO,Punch,Light Heavyweight
862,Magomed Mustafaev,Rafael Fiziev,Red,KO/TKO,Spinning Back Kick,Lightweight
863,Max Holloway,Dustin Poirier,Blue,U-DEC,,Lightweight
864,Kelvin Gastelum,Israel Adesanya,Blue,U-DEC,,Middleweight
865,Eryk Anders,Khalil Rountree Jr.,Blue,U-DEC,,Light Heavyweight
866,Alan Jouban,Dwight Grant,Blue,S-DEC,,Welterweight
867,Ovince Saint Preux,Nikita Krylov,Blue,SUB,Rear Naked Choke,Light Heavyweight
868,Jalin Turner,Matt Frevola,Blue,U-DEC,,Lightweight
869,Wilson Reis,Alexandre Pantoja,Blue,KO/TKO,Punch,Flyweight
870,Max Griffin,Zelim Imadaev,Red,M-DEC,,Welterweight
871,Boston Salmon,Khalid Taha,Blue,KO/TKO,Punch,Bantamweight
872,Curtis Millender,Belal Muhammad,Blue,U-DEC,,Welterweight
873,Montel Jackson,Andre Soukhamthath,Red,U-DEC,,Bantamweight
874,Lauren Mueller,Poliana Botelho,Blue,U-DEC,,Women's Flyweight
875,Brandon Davis,Randy Costa,Red,SUB,Rear Naked Choke,Bantamweight
876,Edson Barboza,Justin Gaethje,Blue,KO/TKO,Punch,Lightweight
877,David Branch,Jack Hermansson,Blue,SUB,Guillotine Choke,Middleweight
878,Josh Emmett,Michael Johnson,Red,KO/TKO,Punch,Featherweight
879,Karolina Kowalkiewicz,Michelle Waterson,Blue,U-DEC,,Women's Strawweight
880,Kennedy Nzechukwu,Paul Craig,Blue,SUB,Triangle Choke,Light Heavyweight
881,Sodiq Yusuff,Sheymon Moraes,Red,U-DEC,,Featherweight
882,Marina Rodriguez,Jessica Aguilar,Red,U-DEC,,Women's Strawweight
883,Ross Pearson,Desmond Green,Blue,KO/TKO,Punches,Lightweight
884,Enrique Barzola,Kevin Aguilar,Blue,U-DEC,,Featherweight
885,Kevin Holland,Gerald Meerschaert,Red,S-DEC,,Middleweight
886,Ray Borg,Casey Kenney,Blue,U-DEC,,Bantamweight
887,Sabina Mazo,Maryna Moroz,Blue,U-DEC,,Women's Flyweight
888,Alex Perez,Mark De La Rosa,Red,U-DEC,,Bantamweight
889,Stephen Thompson,Anthony Pettis,Blue,KO/TKO,Punch,Welterweight
890,Curtis Blaydes,Justin Willis,Red,U-DEC,,Heavyweight
891,John Makdessi,Jesus Pinedo,Red,U-DEC,,Lightweight
892,Jussier Formiga,Deiveson Figueiredo,Red,U-DEC,,Flyweight
893,Luis Pena,Steven Peterson,Red,U-DEC,,Featherweight
894,Maycee Barber,JJ Aldrich,Red,KO/TKO,Punches,Women's Flyweight
895,Bryce Mitchell,Bobby Moffett,Red,U-DEC,,Featherweight
896,Marlon Vera,Frankie Saenz,Red,KO/TKO,Punch,Bantamweight
897,Alexis Davis,Jennifer Maia,Blue,U-DEC,,Women's Flyweight
898,Randa Markos,Angela Hill,Red,SUB,Armbar,Women's Strawweight
899,Ryan MacDonald,Chris Gutierrez,Blue,U-DEC,,Bantamweight
900,Eric Shelton,Jordan Espinosa,Blue,U-DEC,,Flyweight
901,Darren Till,Jorge Masvidal,Blue,KO/TKO,Punch,Welterweight
902,Leon Edwards,Gunnar Nelson,Red,S-DEC,,Welterweight
903,Volkan Oezdemir,Dominick Reyes,Blue,S-DEC,,Light Heavyweight
904,Nathaniel Wood,Jose Quinonez,Red,SUB,Rear Naked Choke,Bantamweight
905,Danny Roberts,Claudio Silva,Blue,SUB,Armbar,Welterweight
906,Jack Marshman,John Phillips,Red,S-DEC,,Middleweight
907,Arnold Allen,Jordan Rinaldi,Red,U-DEC,,Featherweight
908,Marc Diakiese,Joe Duffy,Red,U-DEC,,Lightweight
909,Nicolae Negumereanu,Saparbeg Safarov,Blue,U-DEC,,Light Heavyweight
910,Danny Henry,Dan Ige,Blue,SUB,Rear Naked Choke,Featherweight
911,Molly McCann,Priscila Cachoeira,Red,U-DEC,,Women's Flyweight
912,Mike Grundy,Nad Narimani,Red,KO/TKO,Punches,Featherweight
913,Derrick Lewis,Junior Dos Santos,Blue,KO/TKO,Punches,Heavyweight
914,Elizeu Zaleski dos Santos,Curtis Millender,Red,SUB,Rear Naked Choke,Welterweight
915,Tim Means,Niko Price,Blue,KO/TKO,Punch,Welterweight
916,Blagoy Ivanov,Ben Rothwell,Red,U-DEC,,Heavyweight
917,Beneil Dariush,Drew Dober,Red,SUB,Armbar,Lightweight
918,Tim Boetsch,Omari Akhmedov,Blue,U-DEC,,Middleweight
919,Anthony Rocco Martin,Sergio Moraes,Red,U-DEC,,Welterweight
920,Marion Reneau,Yana Kunitskaya,Blue,U-DEC,,Women's Bantamweight
921,Grant Dawson,Julian Erosa,Red,U-DEC,,Featherweight
922,Maurice Greene,Jeff Hughes,Red,S-DEC,,Heavyweight
923,Louis Smolka,Matt Schnell,Blue,SUB,Triangle Choke,Bantamweight
924,Alex Morono,Zak Ottow,Red,KO/TKO,Elbows,Welterweight
925,Alex White,Dan Moret,Red,U-DEC,,Lightweight
926,Jon Jones,Anthony Smith,Red,U-DEC,,Light Heavyweight
927,Tyron Woodley,Kamaru Usman,Blue,U-DEC,,Welterweight
928,Robbie Lawler,Ben Askren,Blue,SUB,Other - Choke,Welterweight
929,Tecia Torres,Weili Zhang,Blue,U-DEC,,Women's Strawweight
930,Cody Garbrandt,Pedro Munhoz,Blue,KO/TKO,Punch,Bantamweight
931,Jeremy Stephens,Zabit Magomedsharipov,Blue,U-DEC,,Featherweight
932,Misha Cirkunov,Johnny Walker,Blue,KO/TKO,Flying Knee,Light Heavyweight
933,Cody Stamann,Alejandro Perez,Red,U-DEC,,Bantamweight
934,Diego Sanchez,Mickey Gall,Red,KO/TKO,Punches,Welterweight
935,Edmen Shahbazyan,Charles Byrd,Red,KO/TKO,Elbows,Middleweight
936,Gina Mazany,Macy Chiasson,Blue,KO/TKO,Punch,Women's Bantamweight
937,Polyana Viana,Hannah Cifers,Blue,S-DEC,,Women's Strawweight
938,Jan Blachowicz,Thiago Santos,Blue,KO/TKO,Punch,Light Heavyweight
939,Stefan Struve,Marcos Rogerio de Lima,Red,SUB,Arm Triangle,Heavyweight
940,Gian Villante,Michal Oleksiejczuk,Blue,KO/TKO,Punch,Light Heavyweight
941,Liz Carmouche,Lucie Pudilova,Red,U-DEC,,Women's Flyweight
942,John Dodson,Petr Yan,Blue,U-DEC,,Bantamweight
943,Magomed Ankalaev,Klidson Abreu,Red,U-DEC,,Light Heavyweight
944,Dwight Grant,Carlo Pedersoli,Red,,,Welterweight
945,Daniel Teymur,Chris Fishgold,Blue,SUB,Rear Naked Choke,Featherweight
946,Veronica Macedo,Gillian Robertson,Blue,SUB,Rear Naked Choke,Women's Flyweight
947,Damir Hadzovic,Polo Reyes,Red,,,Lightweight
948,Michel Prazeres,Ismail Naurdiev,Blue,U-DEC,,Welterweight
949,Rustam Khabilov,Diego Ferreira,Blue,U-DEC,,Lightweight
950,Damir Ismagulov,Joel Alvarez,Red,U-DEC,,Lightweight
951,Francis Ngannou,Cain Velasquez,Red,KO/TKO,Punches,Heavyweight
952,James Vick,Paul Felder,Blue,U-DEC,,Lightweight
953,Cortney Casey,Cynthia Calvillo,Blue,U-DEC,,Women's Strawweight
954,Alex Caceres,Kron Gracie,Blue,SUB,Rear Naked Choke,Featherweight
955,Vicente Luque,Bryan Barberena,Red,KO/TKO,Knee,Welterweight
956,Andre Fili,Myles Jury,Red,U-DEC,,Featherweight
957,Jimmie Rivera,Aljamain Sterling,Blue,U-DEC,,Bantamweight
958,Benito Lopez,Manny Bermudez,Blue,SUB,Guillotine Choke,Bantamweight
959,Ashlee Evans-Smith,Andrea Lee,Blue,U-DEC,,Women's Flyweight
960,Scott Holtzman,Nik Lentz,Blue,U-DEC,,Lightweight
961,Renan Barao,Luke Sanders,Blue,KO/TKO,Punch,Bantamweight
962,Alexandra Albu,Emily Whitmire,Blue,,,Women's Strawweight
963,Israel Adesanya,Anderson Silva,Red,U-DEC,,Middleweight
964,Lando Vannata,Marcos Mariano,Red,SUB,Kimura,Lightweight
965,Rani Yahya,Ricky Simon,Blue,U-DEC,,Bantamweight
966,Montana De La Rosa,Nadia Kassem,Red,SUB,Armbar,Women's Flyweight
967,Jimmy Crute,Sam Alvey,Red,KO/TKO,Punches,Light Heavyweight
968,Devonte Smith,Dong Hyun Ma,Red,KO/TKO,Punch,Lightweight
969,Shane Young,Austin Arnett,Red,U-DEC,,Featherweight
970,Kai Kara-France,Raulian Paiva,Red,S-DEC,,Flyweight
971,Teruto Ishihara,Kyung Ho Kang,Blue,SUB,Rear Naked Choke,Bantamweight
972,Callan Potter,Jalin Turner,Blue,KO/TKO,Kick,Lightweight
973,Wuliji Buren,Jonathan Martinez,Blue,U-DEC,,Bantamweight
974,Raphael Assuncao,Marlon Moraes,Blue,SUB,Guillotine Choke,Bantamweight
975,Jose Aldo,Renato Moicano,Red,KO/TKO,Punches,Featherweight
976,Demian Maia,Lyman Good,Red,SUB,Rear Naked Choke,Welterweight
977,Charles Oliveira,David Teymur,Red,SUB,Anaconda Choke,Lightweight
978,Johnny Walker,Justin Ledet,Red,KO/TKO,Spinning Back Fist,Light Heavyweight
979,Livinha Souza,Sarah Frota,Red,S-DEC,,Women's Strawweight
980,Markus Perez,Anthony Hernandez,Red,SUB,Anaconda Choke,Middleweight
981,Mara Romero Borella,Taila Santos,Red,S-DEC,,Women's Flyweight
982,Thiago Alves,Max Griffin,Red,S-DEC,,Welterweight
983,Junior Albini,Jairzinho Rozenstruik,Blue,KO/TKO,Kick,Heavyweight
984,Geraldo de Freitas,Felipe Colares,Red,U-DEC,,Featherweight
985,Ricardo Ramos,Said Nurmagomedov,Blue,KO/TKO,Spinning Back Kick,Bantamweight
986,Magomed Bibulatov,Rogerio Bontorin,Blue,S-DEC,,Flyweight
987,Henry Cejudo,TJ Dillashaw,Red,KO/TKO,Punches,Flyweight
988,Greg Hardy,Allen Crowder,Blue,DQ,,Heavyweight
989,Gregor Gillespie,Yancy Medeiros,Red,KO/TKO,Punches,Lightweight
990,Joseph Benavidez,Dustin Ortiz,Red,U-DEC,,Flyweight
991,Paige VanZant,Rachael Ostovich,Red,SUB,Armbar,Women's Flyweight
992,Glover Teixeira,Karl Roberson,Red,SUB,Arm Triangle,Light Heavyweight
993,Alexander Hernandez,Donald Cerrone,Blue,KO/TKO,Kick,Lightweight
994,Joanne Calderwood,Ariane Lipski,Red,U-DEC,,Women's Flyweight
995,Alonzo Menifield,Vinicius Moreira,Red,KO/TKO,Punch,Light Heavyweight
996,Cory Sandhagen,Mario Bautista,Red,SUB,Armbar,Bantamweight
997,Dennis Bermudez,Te Edwards,Red,U-DEC,,Lightweight
998,Belal Muhammad,Geoff Neal,Blue,U-DEC,,Welterweight
999,Kyle Stewart,Chance Rencountre,Blue,SUB,Rear Naked Choke,Welterweight
1000,Jon Jones,Alexander Gustafsson,Red,KO/TKO,Punches,Light Heavyweight
1001,Cris Cyborg,Amanda Nunes,Blue,,,Women's Featherweight
1002,Carlos Condit,Michael Chiesa,Blue,SUB,Kimura,Welterweight
1003,Ilir Latifi,Corey Anderson,Blue,U-DEC,,Light Heavyweight
1004,Chad Mendes,Alexander Volkanovski,Blue,KO/TKO,Punches,Featherweight
1005,Cat Zingano,Megan Anderson,Blue,KO/TKO,Kick,Women's Featherweight
1006,Douglas Silva de Andrade,Petr Yan,Blue,KO/TKO,,Bantamweight
1007,BJ Penn,Ryan Hall,Blue,SUB,Heel Hook,Lightweight
1008,Nathaniel Wood,Andre Ewell,Red,SUB,Rear Naked Choke,Bantamweight
1009,Uriah Hall,Bevon Lewis,Red,KO/TKO,Punch,Middleweight
1010,Curtis Millender,Siyar Bahadurzada,Red,U-DEC,,Welterweight
1011,Brian Kelleher,Montel Jackson,Blue,SUB,D'Arce Choke,Bantamweight
1012,Kevin Lee,Al Iaquinta,Blue,U-DEC,,Lightweight
1013,Edson Barboza,Dan Hooker,Red,KO/TKO,Punches,Lightweight
1014,Rob Font,Sergio Pettis,Red,U-DEC,,Bantamweight
1015,Jim Miller,Charles Oliveira,Blue,SUB,Rear Naked Choke,Lightweight
1016,Zak Ottow,Dwight Grant,Red,S-DEC,,Welterweight
1017,Bobby Green,Drakkar Klose,Blue,U-DEC,,Lightweight
1018,Jared Gordon,Joaquim Silva,Blue,KO/TKO,Punches,Lightweight
1019,Gerald Meerschaert,Jack Hermansson,Blue,SUB,Guillotine Choke,Middleweight
1020,Trevor Smith,Zak Cummings,Blue,U-DEC,,Middleweight
1021,Dan Ige,Jordan Griffin,Red,U-DEC,,Featherweight
1022,Adam Milstead,Mike Rodriguez,Blue,KO/TKO,Knee,Light Heavyweight
1023,Chris de la Rocha,Juan Adams,Blue,KO/TKO,Knee,Heavyweight
1024,Max Holloway,Brian Ortega,Red,KO/TKO,,Featherweight
1025,Valentina Shevchenko,Joanna Jedrzejczyk,Red,U-DEC,,Women's Flyweight
1026,Alex Oliveira,Gunnar Nelson,Blue,SUB,Rear Naked Choke,Welterweight
1027,Hakeem Dawodu,Kyle Bochniak,Red,S-DEC,,Featherweight
1028,Jimi Manuwa,Thiago Santos,Blue,KO/TKO,Punch,Light Heavyweight
1029,Claudia Gadelha,Nina Ansaroff,Blue,U-DEC,,Women's Strawweight
1030,Olivier Aubin-Mercier,Gilbert Burns,Blue,U-DEC,,Lightweight
1031,Katlyn Chookagian,Jessica Eye,Blue,S-DEC,,Women's Flyweight
1032,Elias Theodorou,Eryk Anders,Red,S-DEC,,Middleweight
1033,Brad Katona,Matthew Lopez,Red,U-DEC,,Bantamweight
1034,Chad Laprise,Dhiego Lima,Blue,KO/TKO,Punch,Welterweight
1035,Diego Ferreira,Kyle Nelson,Red,KO/TKO,Punches,Lightweight
1036,Devin Clark,Aleksandar Rakic,Blue,KO/TKO,Spinning Back Fist,Light Heavyweight
1037,Junior Dos Santos,Tai Tuivasa,Red,KO/TKO,Punches,Heavyweight
1038,Mauricio Rua,Tyson Pedro,Red,KO/TKO,Punches,Light Heavyweight
1039,Mark Hunt,Justin Willis,Blue,U-DEC,,Heavyweight
1040,Jake Matthews,Anthony Rocco Martin,Blue,SUB,Anaconda Choke,Welterweight
1041,Suman Mokhtarian,Sodiq Yusuff,Blue,KO/TKO,Punches,Featherweight
1042,Jimmy Crute,Paul Craig,Red,SUB,Kimura,Light Heavyweight
1043,Yushin Okami,Aleksei Kunchenko,Blue,U-DEC,,Welterweight
1044,Wilson Reis,Ben Nguyen,Red,U-DEC,,Flyweight
1045,Keita Nakamura,Salim Touahri,Red,S-DEC,,Welterweight
1046,Elias Garcia,Kai Kara-France,Blue,U-DEC,,Flyweight
1047,Mizuto Hirota,Christos Giagos,Blue,U-DEC,,Lightweight
1048,Alex Gorgees,Damir Ismagulov,Blue,U-DEC,,Lightweight
1049,Rafael Dos Anjos,Kamaru Usman,Blue,U-DEC,,Welterweight
1050,Juan Espino,Justin Frazier,Red,SUB,Armbar,Heavyweight
1051,Pannie Kianzad,Macy Chiasson,Blue,SUB,Rear Naked Choke,Women's Featherweight
1052,Pedro Munhoz,Bryan Caraway,Red,KO/TKO,Kick,Bantamweight
1053,Darren Stewart,Edmen Shahbazyan,Blue,S-DEC,,Middleweight
1054,Ji Yeon Kim,Antonina Shevchenko,Blue,U-DEC,,Women's Flyweight
1055,Rick Glenn,Kevin Aguilar,Blue,U-DEC,,Featherweight
1056,Joseph Benavidez,Alex Perez,Red,KO/TKO,Punches,Flyweight
1057,Maurice Greene,Michel Batista,Red,SUB,Triangle Choke,Heavyweight
1058,Julija Stoliarenko,Leah Letson,Blue,S-DEC,,Women's Featherweight
1059,Roosevelt Roberts,Darrell Horcher,Red,SUB,Guillotine Choke,Lightweight
1060,Tim Means,Ricky Rainey,Red,KO/TKO,Punches,Welterweight
1061,Raoni Barcelos,Chris Gutierrez,Red,SUB,Rear Naked Choke,Bantamweight
1062,Curtis Blaydes,Francis Ngannou,Blue,KO/TKO,Punch,Heavyweight
1063,Alistair Overeem,Sergei Pavlovich,Red,KO/TKO,Punches,Heavyweight
1064,Song Yadong,Vince Morales,Red,U-DEC,,Bantamweight
1065,Li Jingliang,David Zawada,Red,,,Welterweight
1066,Song Kenan,Alex Morono,Blue,,,Welterweight
1067,Wu Yanan,Lauren Mueller,Red,,,Women's Flyweight
1068,Hu Yaozong,Rashad Coulter,Blue,U-DEC,,Light Heavyweight
1069,Weili Zhang,Jessica Aguilar,Red,SUB,Armbar,Women's Strawweight
1070,Liu Pingyuan,Martin Day,Red,S-DEC,,Bantamweight
1071,Yan Xiaonan,Syuri Kondo,Red,,,Women's Strawweight
1072,Kevin Holland,John Phillips,Red,SUB,Rear Naked Choke,Middleweight
1073,Su Mudaerji,Louis Smolka,Blue,SUB,Armbar,Bantamweight
1074,Neil Magny,Santiago Ponzinibbio,Blue,KO/TKO,Punch,Welterweight
1075,Ricardo Lamas,Darren Elkins,Red,KO/TKO,Elbows,Featherweight
1076,Khalil Rountree Jr.,Johnny Walker,Blue,KO/TKO,Elbow,Light Heavyweight
1077,Cezar Ferreira,Ian Heinisch,Blue,U-DEC,,Middleweight
1078,Guido Cannetti,Marlon Vera,Blue,SUB,Rear Naked Choke,Bantamweight
1079,Cynthia Calvillo,Poliana Botelho,Red,SUB,Rear Naked Choke,Women's Strawweight
1080,Michel Prazeres,Bartosz Fabinski,Red,SUB,Guillotine Choke,Welterweight
1081,Alexandre Pantoja,Ulka Sasaki,Red,,,Flyweight
1082,Humberto Bandenay,Austin Arnett,Blue,U-DEC,,Featherweight
1083,Laureano Staropoli,Hector Aldana,Red,U-DEC,,Welterweight
1084,Devin Powell,Jesus Pinedo,Blue,U-DEC,,Lightweight
1085,Nad Narimani,Anderson Dos Santos,Red,U-DEC,,Featherweight
1086,Chan Sung Jung,Yair Rodriguez,Blue,KO/TKO,Elbow,Featherweight
1087,Donald Cerrone,Mike Perry,Red,SUB,Armbar,Welterweight
1088,Raquel Pennington,Germaine de Randamie,Blue,U-DEC,,Women's Bantamweight
1089,Beneil Dariush,Thiago Moises,Red,U-DEC,,Lightweight
1090,Maycee Barber,Hannah Cifers,Red,KO/TKO,Punches,Women's Strawweight
1091,Michael Trizano,Luis Pena,Red,S-DEC,,Lightweight
1092,Ashley Yoder,Amanda Cooper,Red,S-DEC,,Women's Strawweight
1093,Chas Skelly,Bobby Moffett,Blue,Overturned,D'Arce Choke,Featherweight
1094,Davi Ramos,John Gunther,Red,SUB,Rear Naked Choke,Lightweight
1095,Devonte Smith,Julian Erosa,Red,KO/TKO,Punches,Lightweight
1096,Joseph Morales,Eric Shelton,Blue,S-DEC,,Flyweight
1097,Mark De La Rosa,Joby Sanchez,Red,S-DEC,,Bantamweight
1098,Daniel Cormier,Derrick Lewis,Red,SUB,Rear Naked Choke,Heavyweight
1099,Chris Weidman,Jacare Souza,Blue,KO/TKO,Punches,Middleweight
1100,David Branch,Jared Cannonier,Blue,KO/TKO,Punches,Middleweight
1101,Karl Roberson,Jack Marshman,Red,U-DEC,,Middleweight
1102,Derek Brunson,Israel Adesanya,Blue,KO/TKO,Punches,Middleweight
1103,Jason Knight,Jordan Rinaldi,Blue,U-DEC,,Featherweight
1104,Sijara Eubanks,Roxanne Modafferi,Red,U-DEC,,Women's Flyweight
1105,Julio Arce,Sheymon Moraes,Blue,S-DEC,,Featherweight
1106,Lyman Good,Ben Saunders,Red,KO/TKO,Punches,Welterweight
1107,Shane Burgos,Kurt Holobaugh,Red,SUB,Armbar,Featherweight
1108,Adam Wieczorek,Marcos Rogerio de Lima,Blue,U-DEC,,Heavyweight
1109,Volkan Oezdemir,Anthony Smith,Blue,SUB,Rear Naked Choke,Light Heavyweight
1110,Michael Johnson,Artem Lobov,Red,U-DEC,,Featherweight
1111,Misha Cirkunov,Patrick Cummins,Red,SUB,Arm Triangle,Light Heavyweight
1112,Andre Soukhamthath,Jonathan Martinez,Red,U-DEC,,Bantamweight
1113,Gian Villante,Ed Herman,Red,S-DEC,,Light Heavyweight
1114,Alex Garcia,Court McGee,Blue,U-DEC,,Welterweight
1115,Nordine Taleb,Sean Strickland,Blue,KO/TKO,Punch,Welterweight
1116,Thibault Gouti,Nasrat Haqparast,Blue,U-DEC,,Lightweight
1117,Calvin Kattar,Chris Fishgold,Red,KO/TKO,Punch,Featherweight
1118,Sarah Moras,Talita Bernardo,Blue,U-DEC,,Women's Bantamweight
1119,Te Edwards,Don Madge,Blue,KO/TKO,Kick,Lightweight
1120,Arjan Bhullar,Marcelo Golm,Red,U-DEC,,Heavyweight
1121,Stevie Ray,Jessin Ayari,Red,U-DEC,,Lightweight
1122,Khabib Nurmagomedov,Conor McGregor,Red,SUB,Neck Crank,Lightweight
1123,Tony Ferguson,Anthony Pettis,Red,KO/TKO,,Lightweight
1124,Ovince Saint Preux,Dominick Reyes,Blue,U-DEC,,Light Heavyweight
1125,Derrick Lewis,Alexander Volkov,Red,KO/TKO,Punches,Heavyweight
1126,Michelle Waterson,Felice Herrig,Red,U-DEC,,Women's Strawweight
1127,Sergio Pettis,Jussier Formiga,Blue,U-DEC,,Flyweight
1128,Vicente Luque,Jalin Turner,Red,KO/TKO,Punches,Welterweight
1129,Aspen Ladd,Tonya Evinger,Red,KO/TKO,Punches,Women's Bantamweight
1130,Scott Holtzman,Alan Patrick,Red,KO/TKO,Elbows,Lightweight
1131,Lina Lansberg,Yana Kunitskaya,Blue,U-DEC,,Women's Bantamweight
1132,Gray Maynard,Nik Lentz,Blue,KO/TKO,Kick,Lightweight
1133,Ryan LaFlare,Anthony Rocco Martin,Blue,KO/TKO,Kick,Welterweight
1134,Thiago Santos,Eryk Anders,Red,KO/TKO,,Light Heavyweight
1135,Alex Oliveira,Carlo Pedersoli,Red,,,Welterweight
1136,Sam Alvey,Rogerio Nogueira,Blue,KO/TKO,Punch,Light Heavyweight
1137,Renan Barao,Andre Ewell,Blue,S-DEC,,Bantamweight
1138,Charles Oliveira,Christos Giagos,Red,SUB,Rear Naked Choke,Lightweight
1139,Francisco Trinaldo,Evan Dunham,Red,KO/TKO,Knee,Lightweight
1140,Luis Henrique,Ryan Spann,Blue,U-DEC,,Light Heavyweight
1141,Augusto Sakai,Chase Sherman,Red,KO/TKO,Punches,Heavyweight
1142,Sergio Moraes,Ben Saunders,Red,SUB,Arm Triangle,Welterweight
1143,Mayra Bueno Silva,Gillian Robertson,Red,SUB,Armbar,Women's Flyweight
1144,Thales Leites,Hector Lombard,Red,U-DEC,,Middleweight
