,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
97,Ashley Yoder,Miranda Granger,Red,,,Women's Strawweight
98,Alex Morono,Rhys McKee,Red,,,Welterweight
99,Randa Markos,Kanako Murata,Blue,,,Women's Strawweight
100,Geraldo de Freitas,Tony Gravely,Blue,,,Bantamweight
101,Don'Tale Mayes,Roque Martinez,Red,,,Heavyweight
102,Thiago Santos,Glover Teixeira,Blue,,,Light Heavyweight
103,Andrei Arlovski,Tanner Boser,Red,,,Heavyweight
104,Raoni Barcelos,Khalid Taha,Red,,,Bantamweight
105,Claudia Gadelha,Yan Xiaonan,Blue,,,Women's Strawweight
106,Trevin Giles,Bevon Lewis,Red,,,Middleweight
107,Giga Chikadze,Jamey Simmons,Red,,,Featherweight
108,Alexandr Romanov,Marcos Rogerio de Lima,Red,,,Heavyweight
109,Darren Elkins,Eduardo Garagorri,Red,,,Featherweight
110,Max Griffin,Ramiz Brahimaj,Red,,,Welterweight
111,Gustavo Lopez,Anthony Birchak,Red,,,Bantamweight
112,Uriah Hall,Anderson Silva,Red,,,Middleweight
113,Bryce Mitchell,Andre Fili,Red,,,Featherweight
114,Maurice Greene,Greg Hardy,Blue,,,Heavyweight
115,Kevin Holland,Charlie Ontiveros,Red,,,Middleweight
116,Bobby Green,Thiago Moises,Blue,,,Lightweight
117,Chris Gruetzemacher,Alexander Hernandez,Blue,,,Lightweight
118,Adrian Yanez,Victor Rodriguez,Red,,,Bantamweight
119,Sean Strickland,Jack Marshman,Red,,,Middleweight
120,Cole Williams,Jason Witt,Blue,,,Welterweight
121,Dustin Jacoby,Justin Ledet,Red,,,Light Heavyweight
122,Miles Johns,Kevin Natividad,Red,,,Bantamweight
123,Khabib Nurmagomedov,Justin Gaethje,Red,,,Lightweight
124,Robert Whittaker,Jared Cannonier,Red,,,Middleweight
125,Alexander Volkov,Walt Harris,Red,,,Heavyweight
126,Jacob Malkoun,Phillip Hawes,Blue,,,Middleweight
127,Lauren Murphy,Liliya Shakirova,Red,,,Women's Flyweight
128,Magomed Ankalaev,Ion Cutelaba,Red,,,Light Heavyweight
129,Stefan Struve,Tai Tuivasa,Blue,,,Heavyweight
130,Nathaniel Wood,Casey Kenney,Blue,,,Catch Weight
131,Alex Oliveira,Shavkat Rakhmonov,Blue,,,Welterweight
132,Liana Jojua,Miranda Maverick,Blue,,,Women's Flyweight
133,Joel Alvarez,Alexander Yakovlev,Red,,,Lightweight
134,Brian Ortega,Chan Sung Jung,Red,,,Featherweight
135,Katlyn Chookagian,Jessica Andrade,Blue,,,Women's Flyweight
136,Jimmy Crute,Modestas Bukauskas,Red,,,Light Heavyweight
137,Claudio Silva,James Krause,Blue,,,Welterweight
138,Thomas Almeida,Jonathan Martinez,Blue,,,Featherweight
139,Mateusz Gamrot,Guram Kutateladze,Blue,,,Lightweight
140,Gillian Robertson,Poliana Botelho,Red,,,Women's Flyweight
141,Junyong Park,John Phillips,Red,,,Middleweight
142,Jamie Mullarkey,Fares Ziam,Blue,,,Lightweight
143,Gadzhimurad Antigulov,Maxim Grishin,Blue,,,Light Heavyweight
144,Said Nurmagomedov,Mark Striegl,Red,,,Bantamweight
145,Marlon Moraes,Cory Sandhagen,Blue,,,Bantamweight
146,Edson Barboza,Makwan Amirkhani,Red,,,Featherweight
147,Ben Rothwell,Marcin Tybura,Blue,,,Heavyweight
148,Markus Perez,Dricus Du Plessis,Blue,,,Middleweight
149,Tom Aspinall,Alan Baudot,Red,,,Heavyweight
150,Youssef Zalal,Ilia Topuria,Blue,,,Featherweight
151,Tom Breese,KB Bhullar,Red,,,Middleweight
